date,number
2018-05-25,5
2018-05-26,29
2018-05-27,20
2018-05-28,30
2018-05-29,33
2018-05-30,21
2018-05-31,23
2018-06-01,22
2018-06-02,34
2018-06-03,32
2018-06-04,52
2018-06-05,46
2018-06-06,39
2018-06-07,57
2018-06-08,200
2018-06-09,254
2018-06-10,384
2018-06-11,355
2018-06-12,242
2018-06-13,205
2018-06-14,238
2018-06-15,133
2018-06-16,129
2018-06-17,256
2018-06-18,146
2018-06-19,171
2018-06-20,251
2018-06-21,191
2018-06-22,162
2018-06-23,177
2018-06-24,1012
2018-06-25,338
2018-06-26,1255
2018-06-27,4860
2018-06-28,5687
2018-06-29,7366
2018-06-30,6669
2018-07-01,4112
2018-07-02,15844
2018-07-03,14216
2018-07-04,10065
2018-07-05,12852
2018-07-06,9770
2018-07-07,8756
2018-07-08,6630
2018-07-09,8197
2018-07-10,10122
2018-07-11,5871
2018-07-12,4615
2018-07-13,5083
2018-07-14,6207
2018-07-15,4165
2018-07-16,5590
2018-07-17,8426
2018-07-18,9501
2018-07-19,8651
2018-07-20,5340
2018-07-21,5300
2018-07-22,5024
2018-07-23,6241
2018-07-24,4492
2018-07-25,5485
2018-07-26,5352
2018-07-27,5065
2018-07-28,4586
2018-07-29,3495
2018-07-30,2145
2018-07-31,5365
2018-08-01,4007
2018-08-02,3357
2018-08-03,4696
2018-08-04,4808
2018-08-05,5062
2018-08-06,5946
2018-08-07,6029
2018-08-08,5287
2018-08-09,3067
